Library Reference,Designator,Footprint,Quantity,Comment,Description

"CMP-ROOT-0005-8";"BAT1";"THN803465AJ-Footprint-1";"1";"THN803465AJ";"2500mAh 3.7V 1S 25C LiPO Battery JST plug for Drone RC Model Airplane Helicopter"
"CMP-0001-00026-3";"C1, C2";"cap0402";"2";"04025A270KAT2A";"0402 27 pF 50 V ±10 % Tolerance C0G/NP0 SMT Multilayer Ceramic Capacitor"
"CMP-0001-00012-5";"C3, C6, C15, C16, C30, C32";"CAP0805";"6";"CL21B105KBFNNNG";"SAMSUNG ELECTRO-MECHANICS - CL21B105KBFNNNG - MLCC CAPACITORS"
"CMP-0001-00001-10";"C4, C5, C7, C8, C9, C10, C11, C12, C13, C14, C17, C18, C23, C28, C29, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C48, C50, C54, C59";"cap0402";"33";"GRM155R71H104ME14D";"0402 0.1 uF 50 V ±20% Tolerance X7R SMT Monolithic Ceramic Chip Capacitor"
"CMP-0001-00027-2";"C19, C20";"CAPAE7966X77N";"2";"865080545012";"Cap Aluminum Lytic 100uF 35V 20% (6.3 X 7.7mm) SMD 300mA 2000h 105C T/R"
"CMP-0001-00015-4";"C21, C22, C31, C47, C49, C53, C55, C56, C60";"Chip2PinSM127P600-8N";"9";"CL31A106MBHNNNE";"CAP CER 10UF 50V X5R 1206"
"CMP-ROOT-00052-10";"CN2";"618-Footprint-1";"1";"618";"618"
"CMP-ROOT-00021-3";"D1, D6, D8";"DFN445P552X120-3N";"3";"MBR12100LPS-TP";"Diode Schottky 100V 12A TO277B"
"CMP-ROOT-00049-4";"D2";"ONSC-SOT-23-3-318-08_V";"1";"SZBZX84C18LT3G";"SZBZX84C18L Series 18 V 225 mW 10 mA SMT Zener Voltage Regulator - SOT23-3"
"CMP-016-0000-3";"D3, D4, D5";"SOT95P245X110-3N";"3";"BAS70_R1_00001";"Diode Schottky 70 V 200mA Surface Mount SOT-23"
"CMP-00013-1";"D7";"ONSC-SOT-223-4-318E-04_V";"1";"NYC228STT1G";"Thyristor SCR 600V 15A 4-Pin(3+Tab) SOT-223 T/R"
"CMP-ROOT-00047-2";"F1, F2";"RESC3216X06N";"2";"0685H9100-01";"Fuse Chip Fast Acting 10A 125V SMD Solder Pad 1206 3.2 X 1.58 X 0.65mm Ceramic T/R Automotive"
"CMP-006-0008-2";"IC1";"SOIC127P780X195-8N";"1";"W25Q128JVSIM";"NOR Flash Serial (SPI, Dual SPI, Quad SPI) 3V/3.3V 128M-bit 16M x 8 6ns 8-Pin SOIC Tube"
"CMP-006-0009-3";"IC2";"BGA9C40P3X3_211X211X58";"1";"FAN48610UC50X";"2.5 MHz, 1 A, Fixed-Output Synchronous TinyBoost® Regulator"
"CMP-ROOT-00018-6";"J1";"FP-USB4110-GF-A-MFG";"1";"USB4110-GF-A";"Conn Usb 2.0 Type-c R/a SMT"
"CMP-003-0011-2";"J2";"New footprint 1";"1";"1744048-2";"Conn Power HDR 2 POS 5.08mm Solder RA Thru-Hole 2 Terminal 1 Port Bag"
"CMP-003-0004-2";"J3, J4";"6.35mm_mounting_hole-Footprint-1";"2";"6.35mm_mounting_hole";"mounting hole for 111-2223-001"
"CMP-003-0010-2";"J5";"New footprint 1";"1";"3221-10-0300-00";"Conn Shrouded Header HDR 10 POS 1.27mm Solder ST SMD"
"CMP-ROOT-00045-2";"L1";"FP-LQM21PN_C0-IPC_C";"1";"LQM21PNR47MC0D";"Inductor Power Chip Shielded Multi-Layer 0.47uH 20% 1MHz Ferrite 1.1A 0.15Ohm DCR 0805 T/R"
"CMP-ROOT-00003-2";"L2";"INDP130128X65N";"1";"7443551730";"WURTH ELEKTRONIK         7443551730             Surface Mount Power Inductor, WE-HCI Series, 7.3 H, 13 A, 12 A, Shielded, 5900 ohm"
"CMP-00002-2";"LED1, LED4, LED5";"0805_A";"3";"150080BS75000";"SMD LED blue 3.5 V 0805, 150080BS75000, Würth Elektronik"
"CMP-014-0001-2";"Q1";"ONSC-SOT-23-3-318-08_V";"1";"MMBT3904-TP";"TRANS NPN 40V 0.2A SOT23"
"CMP-ROOT-00001-5";"Q2";"TSOP95P280X110-6N_PMN55ENE";"1";"PMN55ENEX";"MOSFET N-CH 60V 4.5A 6TSOP"
"CMP-006-0007-3";"Q3";"SOT95P285X110-6N";"1";"ZXGD3009E6TA";"IC GATE DRVR IGBT/MOSFET SOT23-6"
"CMP-014-0003-1";"Q4";"RQ3C150BCTB-Footprint-1";"1";"AONR21117";"20V P-Channel MOSFET, DFN3x3A-8L, RoHS"
"CMP-ROOT-00035-4";"Q5, Q7, Q8";"SSM3K7002CFU,LF-Footprint-1";"3";"SSM3K7002CFU,LF";"Trans MOSFET N-CH Si 60V 0.17A 3-Pin USM T/R"
"CMP-ROOT-00043-2";"Q6";"TPH3R704PC,LQ-Footprint-1";"1";"TPH3R704PC,LQ";"MOSFET N-Channel Enhancement Mode 40V 8-Pin SOP"
"CMP-014-0002-1";"Q9";"DPAK228P972X230-3N";"1";"2SCR574D3TL1";"Power Transistor With Low Vce(Sat), Suitable For Low Frequency Amplifier. Rohs Compliant: Yes"
"CMP-001-0027-2";"R1";"RESC0402(1005)_N";"1";"RC0402FR-07100RL";"Res General Purpose Thick Film 0402 100 Ohm 1% 1/16W ±100ppm/°C Molded SMD Paper T/R"
"CMP-008-0005-11";"R7, R14, R17, R19, R21, R24, R32, R33, R34, R35, R36, R37, R38, R46, R47, R48, R49, R50, R51, R52, R58, R60, R61, R63, R65, R66, R70, R72, R75";"SMD_0402(1005)_M";"29";"RC0402FR-0710KL";"Surface Mount Thick Film Resistor, Rc Series, 10 Kohm, 62.5 Mw, - 1%, 50 V, 0402 [1005 Metric]"
"CMP-001-0000-9";"R8, R9, R10, R18, R20, R22, R23, R25, R29, R31, R39, R41, R42, R56, R59, R62";"SMD_0402(1005)_M";"16";"RC0402FR-071KL";"Surface Mount Chip Resistor, Thick Film, RC Series, 1 kohm, 62.5 mW, 1%, 50 V, 0402 [1005 Metric]"
"CMP-0001-00006-6";"R12, R40, R44, R45, R64";"SMD_0402(1005)_M";"5";"RC0402FR-07100KL";"Res General Purpose Thick Film 0402 100K Ohm 1% 1/16W ±100ppm/°C Molded SMD Paper T/R"
"CMP-0001-00017-5";"R13, R15";"RESC0402(1005)_N";"2";"RC0402FR-0724RL";"Thick Film Resistors 24 OHM 1%"
"CMP-001-0025-3";"R16, R30";"SMD_0402(1005)_M";"2";"RC0402FR-072K7L";"Res General Purpose Thick Film 0402 2.7k Ohm 1% 1/16W ±100ppm/°C Molded Paper T/R"
"CMP-001-0030-1";"R28";"RESC1005X40X25NL05T10";"1";"RC0402FR-072KL";"Res General Purpose Thick Film 0402 2K Ohm 1% 1/16W ±100ppm/°C Molded SMD Paper T/R"
"CMP-0001-00007-5";"R43";"SMD_0402(1005)_M";"1";"RC0402FR-0710RL";"RES SMD 10 OHM 1% 1/16W 0402"
"CMP-0001-00003-5";"R54";"Chip2PinSM127P600-8N";"1";"ERJ8BSFR10V";"Precision resistor, SMD 0.1 Ohm 0.33 W  ±  1 % 1206, ERJ8BSFR10V, Panasonic Automotive & Industrial Systems"
"CMP-001-0028-2";"R67";"SMD_0402(1005)_M";"1";"RC0402FR-07470KL";"Res Thick Film 0402 470K Ohm 1% 1/16W +/-100ppm/ßC Molded SMD Paper T/R"
"CMP-ROOT-00020-2";"SW3";"CKCP-PTS645S_V";"1";"PTS645SM43SMTR92LFS";""
"CMP-ROOT-00012-4";"SW4, SW6";"BOUR-PEC11R-4XXXF-SXXXX_V";"2";"PEC11R-4215F-S0024";"BOURNS - PEC11R-4215F-S0024 - Rotary Encoder, Mechanical, Incremental, 24 PPR, 24 Detents, Vertical, With Momentary Push Switch"
"CMP-ROOT-00037-2";"SW5";"FP-1825027-8-MFG";"1";"1825027-8";"Switch Tactile OFF (ON) SPST Round Button PC Pins 0.05A 24VDC 1.57N Thru-Hole Loose Piece"
"CMP-ROOT-00039-9";"U1";"rp2040-Footprint-1";"1";"SC0914(13)";"ARM® Cortex®-M0+ series Microcontroller IC 32-Bit Dual-Core 133MHz - External Program Memory 56-QFN (7x7)"
"CMP-ROOT-0004-3";"U4, U5, U6";"DBV0005A_N";"3";"TSB711AIYLT";"Op Amp Single Precision Amplifier R-R I/O ±18V/36V Automotive 5-Pin SOT-23 T/R"
"CMP-ROOT-00032-7";"U9";"FP-DDF0008A-IPC_C";"1";"INA186A1IDDFR";"40V, bi-directional, high-precision current sense amplifier w/ picoamp IB & ENABLE 8-SOT-23-THIN -40 to 125"
"CMP-006-0003-5";"U11";"SOT-23-OT5_M";"1";"MCP73832T-2ACI/OT";"BATTERY CHARGER, 500mA, SOT23-5; Battery Type:Li-Ion, Li-Pol; Input Voltage:6V; Battery Charge Voltage:4.2V; Charge Current Max:500mA; Battery IC Case Style:SOT-23; No. of Pins:5; No. of Series Cells:1; Operating Temperature Max:85 C"
"CMP-00004-2";"U12";"FP-DBV0005A-IPC_A";"1";"TLV74333PDBVR";"300mA Low-Dropout (LDO) Regulator 5-SOT-23 -40 to 125"
"CMP-ROOT-00046-2";"X1";"FP-FL1200112-MFG";"1";"FL1200112";"Crystal 12MHz ±30ppm (Tol) ±30ppm (Stability) 18pF FUND 80Ohm 4-Pin SMD T/R"
